RECEIVED_DATE,EMPLOYER_STATE_PROVINCE,PW_SOC_CODE,PW_SOC_TITLE,SOC_MAJOR_GROUP,PW_SKILL_LEVEL,PW_WAGE,WORKSITE_STATE,MINIMUM_EDUCATION,SUBMISSION_MONTH,SUBMISSION_YEAR,CASE_STATUS,PROCESSING_TIME_DAYS
2021-09-03,ARIZONA,11-9041,Architectural and Engineering Managers,11,Level II,121888.0,ARIZONA,Bachelor's,9,2021,Denied,1139
2022-01-05,KENTUCKY,11-2021,Marketing Managers,11,Level II,63232.0,KENTUCKY,Bachelor's,1,2022,Denied,1015
2023-01-10,TEXAS,11-9021.00,Construction Managers,11,Level I,51875.0,TEXAS,Bachelor's,1,2023,Certified,645
2022-12-10,ARIZONA,13-2031.00,Budget Analysts,13,Level II,59384.0,ARIZONA,Master's,12,2022,Certified,676
2022-05-16,NEW JERSEY,15-1121,Credit Platform Engineer,15,Level IV,136427.0,NEW JERSEY,Master's,5,2022,Denied,884
2022-03-17,FLORIDA,15-1133,Senior Software Engineer,15,Level II,81744.0,FLORIDA,Master's,3,2022,Denied,944
2022-03-17,FLORIDA,15-1199,Quality Assurance Engineer,15,Level II,61547.0,FLORIDA,Master's,3,2022,Denied,944
2022-12-15,MICHIGAN,15-1211.00,Computer Systems Analysts,15,Level I,74422.0,MICHIGAN,Bachelor's,12,2022,Certified,671
2022-03-28,FLORIDA,19-3011,Economists,19,Level III,85654.0,FLORIDA,Bachelor's,3,2022,Denied,933
2023-02-09,CALIFORNIA,27-2022.00,Coaches and Scouts,27,Level I,29950.0,CALIFORNIA,Unknown,2,2023,Certified,615
2022-12-08,NEW JERSEY,29-2011,Medical and Clinical Laboratory Technologists,29,Level I,46654.0,NEW JERSEY,Bachelor's,12,2022,Certified,678
2021-12-27,NEW YORK,31-9091,DENTAL ASSISTANT,31,Level I,32469.0,NEW YORK,Unknown,12,2021,Denied,1024
2021-05-14,FLORIDA FL,35-2013,Italian Specialy Chef,35,Level III,45954.0,FLORIDA,High School,5,2021,Denied,1251
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-03,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1078
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-29,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1052
2021-11-11,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1070
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2021-11-02,GEORGIA,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37,Level I,9.51,GEORGIA,Unknown,11,2021,Denied,1079
2023-02-21,CALIFORNIA,39-9011.01,Childcare Workers,39,Level II,30805.0,CALIFORNIA,High School,2,2023,Certified,603
